tld,registrar,registrant_country,domain_age,nameserver_domain,mail_domain,tls_age,tls_issuer,url_len,parameters_len,parameters_count,dollar_percent,dash_percent,underscore_percent,dot_percent,plus_percent,exclamation_mark_percent,star_percent,quote_percent,opening_bracket_percent,closing_bracket_percent,comma_percent,numbers_percent,url_entropy,is_redirect,subdomain_count,content_link_count,content_img_count,label
shop,Registrar of domain names REG.RU,RU,5.0,reg.ru,reg.ru,5.0,R3,21,0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.5585186130489057,True,2,44.0,17.0,illegitimate
com,"NameSilo, LLC",US,89.0,cloudflare.com,namesilo.com,,,21,0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.594465636961451,False,2,0.0,0.0,illegitimate
com,"NameSilo, LLC",US,89.0,cloudflare.com,namesilo.com,7.0,E1,197,154,1,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,4.897370910350036,True,2,0.0,0.0,illegitimate
com,"NameSilo, LLC",US,89.0,cloudflare.com,namesilo.com,6.0,GTS CA 1P5,210,154,1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,4.990006200988232,True,2,0.0,0.0,illegitimate
com,"NameSilo, LLC",US,89.0,cloudflare.com,namesilo.com,6.0,E1,206,154,1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,4.966356856490482,True,2,0.0,0.0,illegitimate
cyou,Namecheap,IS,49.0,cloudflare.com,namecheap.com,49.0,GTS CA 1P5,32,0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.9917292966721747,True,3,0.0,7.0,illegitimate
pl,home.pl S.A.,,1.0,cloudflare.com,,0.0,GTS CA 1P5,298,256,0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,5.824234072392735,True,2,9.0,2.0,illegitimate
fun,PDR Ltd. d/b/a PublicDomainRegistry.com,UA,0.0,uadns.com,publicdomainregistry.com,,,39,0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.201692923824033,False,3,6.0,9.0,illegitimate
cloud,Sav.com LLC,US,10.0,cloudflare.com,sav.com,8.0,GTS CA 1P5,41,0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4.257078456355553,True,3,0.0,0.0,illegitimate
fun,PDR Ltd. d/b/a PublicDomainRegistry.com,UA,0.0,uadns.com,publicdomainregistry.com,0.0,R3,36,0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.183542362433229,True,2,6.0,9.0,illegitimate
com,"NameSilo, LLC",US,78.0,cloudflare.com,namesilo.com,,,24,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.772055208874201,False,2,0.0,0.0,illegitimate
xyz,"NameSilo, LLC",US,2.0,cloudflare.com,namesilo.com,,,30,0,0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.872905595320056,False,3,54.0,13.0,illegitimate
site,Namecheap,IS,18.0,cloudflare.com,namecheap.com,18.0,R3,28,0,0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.9852281360342507,True,3,127.0,22.0,illegitimate
site,Namecheap,IS,18.0,cloudflare.com,namecheap.com,18.0,R3,24,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.90726822961739,True,2,127.0,22.0,illegitimate
com,"NICENIC INTERNATIONAL GROUP CO., LIMITED",SC,22.0,my-ndns.com,nicenic.net,,,49,0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.721353976547507,True,3,0.0,0.0,illegitimate
